ma_khach_hang,ngay_mua_gan_nhat,tan_suat_mua,tong_chi_tieu,gia_tri_don_hang_tb,ngay_mua_dau_tien,tong_so_luong_mua,so_danh_muc_da_mua,danh_muc_yeu_thich,so_ngay_tu_lan_mua_cuoi,tuoi_tho_khach_hang,diem_R,diem_F,diem_M,diem_RFM_ma_hoa,diem_RFM_tong,phan_khuc_rfm,ngay_snapshot
CUS0028203,2025-12-26,10,1306000,130600,2024-11-21,12,5,Cleanser,4,400,5,5,4,554,14,Champions,2025-12-31
CUS0028204,2022-12-25,2,534000,267000,2022-08-10,3,2,Serum,1101,137,1,2,2,122,5,Lost,2025-12-31
CUS0028205,2022-05-21,1,143000,143000,2022-05-21,1,1,Serum,1320,0,1,1,1,111,3,Lost,2025-12-31
CUS0028206,2025-12-24,61,21898000,358984,2022-01-18,101,5,Serum,6,1436,5,5,5,555,15,Champions,2025-12-31
CUS0028207,2022-04-24,2,459000,229500,2022-03-13,4,2,Cleanser,1346,42,1,2,2,122,5,Lost,2025-12-31
CUS0028208,2025-12-18,5,1571000,314200,2025-08-18,9,2,Sunscreen,12,122,5,4,4,544,13,Champions,2025-12-31
CUS0028209,2025-06-01,14,11514000,822429,2023-03-14,20,4,Moisturizer,212,810,4,5,5,455,14,Champions,2025-12-31
CUS0028210,2023-02-17,3,439000,146333,2022-08-06,4,2,Cleanser,1047,195,1,3,2,132,6,At Risk,2025-12-31
CUS0028211,2025-12-23,9,2161000,240111,2025-11-02,11,4,Cleanser,7,51,5,5,4,554,14,Champions,2025-12-31
CUS0028212,2025-08-31,4,933000,233250,2024-11-23,6,2,Cleanser,121,281,4,4,3,443,11,Loyal Customers,2025-12-31
CUS0028213,2025-12-17,1,44000,44000,2025-12-17,1,1,Cleanser,14,0,5,1,1,511,7,Recent Customers,2025-12-31
CUS0028215,2024-04-05,1,89000,89000,2024-04-05,2,1,Serum,635,0,3,1,1,311,5,Need Attention,2025-12-31
CUS0028216,2022-10-25,2,210000,105000,2022-05-21,2,1,Toner,1162,157,1,2,1,121,4,Lost,2025-12-31
CUS0028217,2024-06-27,4,1241000,310250,2023-12-07,7,3,Toner,551,203,3,4,4,344,11,Loyal Customers,2025-12-31
CUS0028218,2023-08-08,4,802000,200500,2022-12-18,5,3,Toner,875,233,2,4,3,243,9,At Risk,2025-12-31
CUS0028219,2024-10-11,1,248000,248000,2024-10-11,4,1,Toner,446,0,3,1,1,311,5,Need Attention,2025-12-31
CUS0028220,2023-06-09,1,939000,939000,2023-06-09,4,1,Sunscreen,936,0,2,1,3,213,6,Hibernating,2025-12-31
CUS0028221,2024-05-26,2,1489000,744500,2023-12-20,4,2,Moisturizer,583,158,3,2,4,324,9,Potential Loyalists,2025-12-31
CUS0028222,2022-10-26,2,336000,168000,2022-06-17,2,2,Moisturizer,1161,131,1,2,2,122,5,Lost,2025-12-31
CUS0028223,2024-07-15,2,702000,351000,2024-05-04,4,2,Serum,533,72,3,2,3,323,8,Potential Loyalists,2025-12-31
CUS0028224,2025-11-29,48,15900000,331250,2022-12-16,77,5,Serum,31,1079,5,5,5,555,15,Champions,2025-12-31
CUS0028225,2024-10-14,2,186000,93000,2024-09-23,2,2,Toner,442,21,3,2,1,321,6,Potential Loyalists,2025-12-31
CUS0028226,2023-06-26,1,370000,370000,2023-06-26,3,1,Cleanser,919,0,2,1,2,212,5,Hibernating,2025-12-31
CUS0028227,2023-09-03,1,498000,498000,2023-09-03,5,1,Cleanser,850,0,2,1,2,212,5,Hibernating,2025-12-31
CUS0028228,2025-07-21,5,1110000,222000,2024-12-16,9,3,Sunscreen,162,217,4,4,3,443,11,Loyal Customers,2025-12-31
CUS0028229,2024-08-30,2,1221000,610500,2024-08-28,5,1,Serum,487,2,3,2,4,324,9,Potential Loyalists,2025-12-31
CUS0028230,2023-03-13,2,509000,254500,2023-02-02,2,2,Moisturizer,1023,39,2,2,2,222,6,Hibernating,2025-12-31
CUS0028231,2022-07-29,3,652000,217333,2022-05-01,4,3,Sunscreen,1250,89,1,3,3,133,7,At Risk,2025-12-31
CUS0028232,2024-02-03,10,1895000,189500,2022-12-26,15,5,Sunscreen,696,404,3,5,4,354,12,Loyal Customers,2025-12-31
CUS0028233,2023-06-26,2,1802000,901000,2023-02-11,5,1,Serum,918,135,2,2,4,224,8,Hibernating,2025-12-31
CUS0028234,2022-09-12,1,345000,345000,2022-09-12,1,1,Serum,1206,0,1,1,2,112,4,Lost,2025-12-31
CUS0028235,2023-03-05,5,792000,158400,2022-04-21,7,4,Cleanser,1031,318,1,4,3,143,8,At Risk,2025-12-31
CUS0028236,2024-12-05,1,505000,505000,2024-12-05,2,1,Serum,391,0,4,1,2,412,7,Recent Customers,2025-12-31
CUS0028237,2024-05-19,9,3483000,387000,2023-05-01,15,4,Cleanser,590,384,3,5,5,355,13,Loyal Customers,2025-12-31
CUS0028239,2025-12-11,25,10172000,406880,2023-07-26,43,5,Serum,19,869,5,5,5,555,15,Champions,2025-12-31
CUS0028240,2024-09-11,2,907000,453500,2024-07-11,5,2,Moisturizer,475,62,3,2,3,323,8,Potential Loyalists,2025-12-31
CUS0028241,2024-10-25,1,232000,232000,2024-10-25,2,1,Sunscreen,432,0,3,1,1,311,5,Need Attention,2025-12-31
CUS0028242,2024-12-13,2,1067000,533500,2024-08-17,5,1,Sunscreen,382,118,4,2,3,423,9,Recent Customers,2025-12-31
CUS0028243,2023-05-31,2,1004000,502000,2023-03-24,3,2,Serum,944,68,2,2,3,223,7,Hibernating,2025-12-31
CUS0028244,2025-10-06,1,3675000,3675000,2025-10-06,4,1,Toner,86,0,5,1,5,515,11,Recent Customers,2025-12-31
CUS0028245,2023-01-27,4,925000,231250,2022-07-23,9,3,Cleanser,1068,188,1,4,3,143,8,At Risk,2025-12-31
CUS0028246,2025-03-21,9,2707000,300778,2022-12-09,14,5,Serum,284,833,4,5,5,455,14,Champions,2025-12-31
CUS0028247,2025-03-20,2,282000,141000,2024-10-05,3,2,Cleanser,285,166,4,2,1,421,7,Recent Customers,2025-12-31
CUS0028248,2024-10-18,2,390000,195000,2024-08-23,3,2,Sunscreen,438,56,3,2,2,322,7,Potential Loyalists,2025-12-31
CUS0028249,2025-03-07,11,4117000,374273,2023-01-10,16,5,Sunscreen,298,787,4,5,5,455,14,Champions,2025-12-31
CUS0028250,2023-12-21,1,1728000,1728000,2023-12-21,4,1,Serum,741,0,2,1,4,214,7,Hibernating,2025-12-31
CUS0028251,2022-08-31,3,338000,112667,2022-04-17,3,2,Moisturizer,1217,136,1,3,2,132,6,At Risk,2025-12-31
CUS0028252,2024-10-10,9,1862000,206889,2023-04-17,11,4,Toner,446,542,3,5,4,354,12,Loyal Customers,2025-12-31
CUS0028253,2024-04-26,1,250000,250000,2024-04-26,2,1,Moisturizer,614,0,3,1,1,311,5,Need Attention,2025-12-31
CUS0028254,2023-08-11,1,476000,476000,2023-08-11,2,1,Serum,873,0,2,1,2,212,5,Hibernating,2025-12-31
CUS0028255,2023-03-26,4,1252000,313000,2023-02-07,5,3,Moisturizer,1010,47,2,4,4,244,10,Cant Lose Them,2025-12-31
CUS0028256,2024-08-10,4,380000,95000,2023-10-27,5,4,Sunscreen,507,288,3,4,2,342,9,Potential Loyalists,2025-12-31
CUS0028257,2025-03-08,9,2719000,302111,2023-06-03,13,4,Serum,297,644,4,5,5,455,14,Champions,2025-12-31
CUS0028258,2022-05-15,1,843000,843000,2022-05-15,1,1,Sunscreen,1326,0,1,1,3,113,5,Lost,2025-12-31
CUS0028259,2025-10-12,4,875000,218750,2024-12-25,5,3,Moisturizer,79,291,5,4,3,543,12,Loyal Customers,2025-12-31
CUS0028260,2025-12-13,4,1299000,324750,2025-08-24,5,4,Toner,17,111,5,4,4,544,13,Champions,2025-12-31
CUS0028261,2022-05-25,2,1577000,788500,2022-04-08,4,2,Cleanser,1315,47,1,2,4,124,7,Lost,2025-12-31
CUS0028262,2024-02-19,2,514000,257000,2024-01-18,2,2,Serum,680,32,3,2,2,322,7,Potential Loyalists,2025-12-31
CUS0028264,2022-05-12,1,191000,191000,2022-05-12,1,1,Serum,1329,0,1,1,1,111,3,Lost,2025-12-31
CUS0028265,2025-10-25,5,581000,116200,2024-12-07,7,3,Serum,66,322,5,4,2,542,11,Potential Loyalists,2025-12-31
CUS0028266,2022-04-02,2,251000,125500,2022-01-26,3,2,Moisturizer,1368,66,1,2,1,121,4,Lost,2025-12-31
CUS0028267,2023-07-27,4,1453000,363250,2022-11-08,4,3,Toner,887,261,2,4,4,244,10,Cant Lose Them,2025-12-31
CUS0028268,2023-03-22,4,687000,171750,2022-07-01,5,3,Toner,1014,264,2,4,3,243,9,At Risk,2025-12-31
CUS0028269,2025-01-07,2,439000,219500,2024-12-16,3,2,Toner,357,22,4,2,2,422,8,Recent Customers,2025-12-31
CUS0028270,2025-11-05,6,3113000,518833,2025-04-07,10,4,Serum,55,212,5,4,5,545,14,Champions,2025-12-31
CUS0028271,2022-05-17,1,617000,617000,2022-05-17,2,1,Serum,1324,0,1,1,2,112,4,Lost,2025-12-31
CUS0028272,2025-03-20,7,5024000,717714,2024-03-25,13,3,Sunscreen,285,360,4,4,5,445,13,Champions,2025-12-31
CUS0028273,2025-12-21,24,6251000,260458,2022-08-22,39,5,Serum,9,1217,5,5,5,555,15,Champions,2025-12-31
CUS0028274,2025-11-11,9,2413000,268111,2024-03-05,14,3,Serum,49,616,5,5,4,554,14,Champions,2025-12-31
CUS0028275,2024-08-08,10,4960000,496000,2022-10-08,18,5,Toner,509,670,3,5,5,355,13,Loyal Customers,2025-12-31
CUS0028276,2023-05-30,3,1376000,458667,2023-02-28,8,2,Serum,945,91,2,3,4,234,9,At Risk,2025-12-31
CUS0028277,2025-12-12,4,1382000,345500,2025-10-11,7,3,Toner,18,62,5,4,4,544,13,Champions,2025-12-31
CUS0028278,2025-12-04,4,914000,228500,2025-07-09,5,3,Sunscreen,26,148,5,4,3,543,12,Loyal Customers,2025-12-31
CUS0028279,2024-07-16,4,1234000,308500,2024-03-17,9,3,Cleanser,532,121,3,4,4,344,11,Loyal Customers,2025-12-31
CUS0028280,2024-11-06,2,430000,215000,2024-08-08,4,2,Sunscreen,419,90,4,2,2,422,8,Recent Customers,2025-12-31
CUS0028281,2025-12-02,2,548000,274000,2025-11-16,2,2,Serum,28,16,5,2,2,522,9,Recent Customers,2025-12-31
CUS0028282,2023-10-12,1,209000,209000,2023-10-12,1,1,Cleanser,811,0,2,1,1,211,4,Hibernating,2025-12-31
CUS0028283,2025-12-18,58,17426000,300448,2023-07-20,106,5,Sunscreen,12,882,5,5,5,555,15,Champions,2025-12-31
CUS0028284,2023-11-18,1,297000,297000,2023-11-18,1,1,Cleanser,774,0,2,1,1,211,4,Hibernating,2025-12-31
CUS0028285,2024-09-27,4,452000,113000,2024-01-25,4,3,Sunscreen,459,246,3,4,2,342,9,Potential Loyalists,2025-12-31
CUS0028286,2022-12-01,2,244000,122000,2022-05-03,2,2,Cleanser,1125,212,1,2,1,121,4,Lost,2025-12-31
CUS0028287,2023-05-09,2,155000,77500,2022-08-23,2,1,Cleanser,966,259,2,2,1,221,5,Hibernating,2025-12-31
CUS0028288,2025-12-13,4,1233000,308250,2025-09-06,5,3,Moisturizer,17,98,5,4,4,544,13,Champions,2025-12-31
CUS0028289,2024-08-16,1,197000,197000,2024-08-16,1,1,Cleanser,502,0,3,1,1,311,5,Need Attention,2025-12-31
CUS0028290,2025-12-30,13,6217000,478231,2025-08-25,24,5,Sunscreen,0,127,5,5,5,555,15,Champions,2025-12-31
CUS0028291,2025-01-15,2,194000,97000,2024-10-06,2,1,Moisturizer,349,101,4,2,1,421,7,Recent Customers,2025-12-31
CUS0028292,2025-10-04,5,732000,146400,2024-07-16,7,3,Moisturizer,87,445,5,4,3,543,12,Loyal Customers,2025-12-31
CUS0028293,2022-12-21,5,1593000,318600,2022-01-25,11,3,Cleanser,1105,330,1,4,4,144,9,Cant Lose Them,2025-12-31
CUS0028294,2024-09-07,1,313000,313000,2024-09-07,3,1,Moisturizer,480,0,3,1,1,311,5,Need Attention,2025-12-31
CUS0028295,2024-06-23,1,386000,386000,2024-06-23,1,1,Serum,556,0,3,1,2,312,6,Need Attention,2025-12-31
CUS0028296,2025-03-21,2,625000,312500,2025-03-18,3,2,Sunscreen,284,3,4,2,2,422,8,Recent Customers,2025-12-31
CUS0028297,2022-06-21,2,477000,238500,2022-06-21,4,1,Serum,1288,0,1,2,2,122,5,Lost,2025-12-31
CUS0028298,2023-12-16,5,2260000,452000,2023-06-22,9,3,Serum,745,177,2,4,4,244,10,Cant Lose Them,2025-12-31
CUS0028299,2023-05-17,4,517000,129250,2022-11-04,7,3,Serum,958,194,2,4,2,242,8,At Risk,2025-12-31
CUS0028300,2025-07-01,1,782000,782000,2025-07-01,2,1,Moisturizer,183,0,4,1,3,413,8,Recent Customers,2025-12-31
CUS0028301,2024-07-03,4,720000,180000,2023-10-03,7,4,Serum,545,274,3,4,3,343,10,Loyal Customers,2025-12-31
CUS0028302,2022-08-01,3,594000,198000,2022-02-24,8,1,Cleanser,1247,158,1,3,2,132,6,At Risk,2025-12-31
CUS0028303,2025-04-13,5,1707000,341400,2024-03-06,9,2,Serum,261,403,4,4,4,444,12,Champions,2025-12-31
CUS0028304,2024-02-17,5,1094000,218800,2023-09-03,10,5,Sunscreen,682,167,3,4,3,343,10,Loyal Customers,2025-12-31
CUS0028305,2025-12-03,10,3252000,325200,2025-09-18,18,5,Sunscreen,27,76,5,5,5,555,15,Champions,2025-12-31
CUS0028306,2023-05-14,5,1870000,374000,2023-02-09,9,3,Sunscreen,961,94,2,4,4,244,10,Cant Lose Them,2025-12-31
CUS0028307,2025-01-28,2,176000,88000,2024-12-18,2,2,Toner,336,41,4,2,1,421,7,Recent Customers,2025-12-31
CUS0028308,2022-09-21,2,343000,171500,2022-07-27,3,2,Cleanser,1196,56,1,2,2,122,5,Lost,2025-12-31
CUS0028309,2025-04-25,4,798000,199500,2024-12-06,6,2,Serum,249,140,4,4,3,443,11,Loyal Customers,2025-12-31
CUS0028310,2024-11-02,2,597000,298500,2024-09-14,3,1,Serum,423,49,4,2,2,422,8,Recent Customers,2025-12-31
CUS0028311,2022-07-30,4,751000,187750,2022-01-15,6,3,Sunscreen,1249,196,1,4,3,143,8,At Risk,2025-12-31
CUS0028313,2024-09-02,4,1104000,276000,2024-04-21,8,3,Serum,484,134,3,4,3,343,10,Loyal Customers,2025-12-31
CUS0028314,2025-10-22,24,9027000,376125,2023-04-08,40,5,Toner,69,928,5,5,5,555,15,Champions,2025-12-31
CUS0028315,2022-10-25,4,1771000,442750,2022-07-07,6,2,Moisturizer,1162,110,1,4,4,144,9,Cant Lose Them,2025-12-31
CUS0028316,2023-01-05,2,1204000,602000,2022-12-05,5,2,Toner,1090,31,1,2,4,124,7,Lost,2025-12-31
CUS0028317,2022-12-16,2,370000,185000,2022-12-01,3,2,Sunscreen,1110,15,1,2,2,122,5,Lost,2025-12-31
CUS0028318,2024-05-20,4,675000,168750,2024-02-08,5,2,Serum,589,102,3,4,3,343,10,Loyal Customers,2025-12-31
CUS0028319,2024-07-02,4,932000,233000,2023-08-14,6,2,Cleanser,546,323,3,4,3,343,10,Loyal Customers,2025-12-31
CUS0028320,2024-01-20,9,3739000,415444,2023-05-22,20,4,Serum,710,243,3,5,5,355,13,Loyal Customers,2025-12-31
CUS0028321,2024-12-27,5,1070000,214000,2023-08-02,7,3,Moisturizer,368,513,4,4,3,443,11,Loyal Customers,2025-12-31
CUS0028322,2025-12-09,11,2051000,186455,2024-06-17,15,5,Toner,21,540,5,5,4,554,14,Champions,2025-12-31
CUS0028323,2025-04-02,4,1520000,380000,2024-09-15,6,3,Cleanser,272,199,4,4,4,444,12,Champions,2025-12-31
CUS0028324,2022-07-04,1,960000,960000,2022-07-04,4,1,Sunscreen,1276,0,1,1,3,113,5,Lost,2025-12-31
CUS0028325,2023-05-22,8,2689000,336125,2022-02-21,12,4,Cleanser,953,455,2,5,5,255,12,Cant Lose Them,2025-12-31
CUS0028326,2022-04-07,1,238000,238000,2022-04-07,3,1,Serum,1364,0,1,1,1,111,3,Lost,2025-12-31
CUS0028327,2022-10-05,2,919000,459500,2022-06-27,4,2,Cleanser,1182,100,1,2,3,123,6,Lost,2025-12-31
CUS0028328,2025-06-14,12,5188000,432333,2023-11-14,22,5,Serum,199,578,4,5,5,455,14,Champions,2025-12-31
CUS0028329,2023-04-13,4,956000,239000,2022-06-26,6,3,Cleanser,992,291,2,4,3,243,9,At Risk,2025-12-31
CUS0028330,2024-08-14,1,117000,117000,2024-08-14,1,1,Moisturizer,504,0,3,1,1,311,5,Need Attention,2025-12-31
CUS0028331,2023-02-01,2,780000,390000,2022-11-19,3,2,Serum,1063,74,1,2,3,123,6,Lost,2025-12-31
CUS0028332,2022-10-13,1,75000,75000,2022-10-13,1,1,Moisturizer,1175,0,1,1,1,111,3,Lost,2025-12-31
CUS0028333,2023-08-03,4,539000,134750,2022-10-24,4,2,Moisturizer,880,283,2,4,2,242,8,At Risk,2025-12-31
CUS0028334,2025-12-15,22,5151000,234136,2024-07-28,30,5,Sunscreen,15,505,5,5,5,555,15,Champions,2025-12-31
CUS0028335,2025-07-11,2,652000,326000,2025-06-27,4,2,Serum,172,14,4,2,3,423,9,Recent Customers,2025-12-31
CUS0028336,2024-03-14,4,1402000,350500,2023-09-13,8,3,Serum,656,183,3,4,4,344,11,Loyal Customers,2025-12-31
CUS0028337,2022-10-08,2,327000,163500,2022-09-13,2,2,Toner,1179,25,1,2,1,121,4,Lost,2025-12-31
CUS0028338,2024-06-21,5,1087000,217400,2024-04-19,11,4,Cleanser,557,63,3,4,3,343,10,Loyal Customers,2025-12-31
CUS0028339,2024-02-10,1,254000,254000,2024-02-10,1,1,Serum,690,0,3,1,1,311,5,Need Attention,2025-12-31
CUS0028340,2025-08-17,10,2081000,208100,2024-10-09,17,5,Cleanser,135,312,4,5,4,454,13,Champions,2025-12-31
CUS0028341,2025-11-19,9,4038000,448667,2024-07-20,17,5,Moisturizer,41,487,5,5,5,555,15,Champions,2025-12-31
CUS0028342,2025-02-13,3,1565000,521667,2024-12-10,8,3,Serum,320,65,4,3,4,434,11,Loyal Customers,2025-12-31
CUS0028343,2025-12-15,18,6975000,387500,2024-10-18,27,5,Moisturizer,15,423,5,5,5,555,15,Champions,2025-12-31
CUS0028344,2024-12-25,2,353000,176500,2024-10-20,2,2,Sunscreen,370,66,4,2,2,422,8,Recent Customers,2025-12-31
CUS0028345,2025-06-13,1,460000,460000,2025-06-13,3,1,Serum,201,0,4,1,2,412,7,Recent Customers,2025-12-31
CUS0028346,2025-07-01,1,644000,644000,2025-07-01,2,1,Sunscreen,183,0,4,1,2,412,7,Recent Customers,2025-12-31
CUS0028347,2024-01-18,1,353000,353000,2024-01-18,1,1,Serum,713,0,3,1,2,312,6,Need Attention,2025-12-31
CUS0028348,2024-09-16,2,541000,270500,2024-05-05,4,2,Moisturizer,470,134,3,2,2,322,7,Potential Loyalists,2025-12-31
CUS0028349,2025-01-25,2,447000,223500,2024-09-03,7,2,Moisturizer,339,144,4,2,2,422,8,Recent Customers,2025-12-31
CUS0028350,2025-04-07,2,1002000,501000,2025-03-27,4,2,Sunscreen,267,11,4,2,3,423,9,Recent Customers,2025-12-31
CUS0028351,2022-05-27,3,716000,238667,2022-01-14,3,3,Sunscreen,1313,133,1,3,3,133,7,At Risk,2025-12-31
CUS0028352,2023-08-13,4,2804000,701000,2023-01-23,7,3,Cleanser,870,202,2,4,5,245,11,Cant Lose Them,2025-12-31
CUS0028353,2025-03-16,3,744000,248000,2024-10-26,6,2,Serum,289,141,4,3,3,433,10,Loyal Customers,2025-12-31
CUS0028354,2023-04-19,2,155000,77500,2023-01-21,2,2,Toner,986,88,2,2,1,221,5,Hibernating,2025-12-31
CUS0028355,2023-12-03,3,1083000,361000,2023-09-07,5,3,Cleanser,758,87,2,3,3,233,8,At Risk,2025-12-31
CUS0028356,2022-09-10,1,287000,287000,2022-09-10,1,1,Serum,1208,0,1,1,1,111,3,Lost,2025-12-31
CUS0028357,2025-12-30,58,23151000,399155,2022-01-27,100,5,Toner,0,1433,5,5,5,555,15,Champions,2025-12-31
CUS0028358,2022-11-27,4,1024000,256000,2022-06-20,5,4,Serum,1129,160,1,4,3,143,8,At Risk,2025-12-31
CUS0028359,2025-01-28,4,3801000,950250,2024-08-16,10,3,Sunscreen,336,165,4,4,5,445,13,Champions,2025-12-31
CUS0028360,2024-03-23,1,78000,78000,2024-03-23,1,1,Serum,648,0,3,1,1,311,5,Need Attention,2025-12-31
CUS0028361,2023-09-17,1,308000,308000,2023-09-17,1,1,Moisturizer,836,0,2,1,1,211,4,Hibernating,2025-12-31
CUS0028362,2022-06-16,2,258000,129000,2022-03-27,2,2,Moisturizer,1293,81,1,2,1,121,4,Lost,2025-12-31
CUS0028363,2023-05-01,1,92000,92000,2023-05-01,1,1,Toner,975,0,2,1,1,211,4,Hibernating,2025-12-31
CUS0028364,2025-12-05,10,4351000,435100,2024-07-07,21,4,Serum,25,516,5,5,5,555,15,Champions,2025-12-31
CUS0028365,2024-10-26,13,3783000,291000,2023-11-15,17,5,Serum,430,346,4,5,5,455,14,Champions,2025-12-31
CUS0028366,2025-09-01,8,2248000,281000,2024-04-10,12,5,Cleanser,120,509,4,5,4,454,13,Champions,2025-12-31
CUS0028367,2025-11-08,5,1530000,306000,2025-09-15,8,3,Cleanser,52,54,5,4,4,544,13,Champions,2025-12-31
CUS0028368,2022-04-30,4,859000,214750,2022-02-20,10,3,Cleanser,1340,69,1,4,3,143,8,At Risk,2025-12-31
CUS0028369,2025-03-16,7,3363000,480429,2023-08-28,10,3,Serum,289,566,4,4,5,445,13,Champions,2025-12-31
CUS0028370,2025-12-05,8,2009000,251125,2025-06-02,15,2,Sunscreen,25,186,5,5,4,554,14,Champions,2025-12-31
CUS0028371,2024-02-28,1,338000,338000,2024-02-28,2,1,Serum,672,0,3,1,2,312,6,Need Attention,2025-12-31
CUS0028372,2022-10-19,2,919000,459500,2022-06-06,5,2,Cleanser,1168,135,1,2,3,123,6,Lost,2025-12-31
CUS0028373,2022-11-18,5,5153000,1030600,2022-07-19,7,2,Serum,1138,122,1,4,5,145,10,Cant Lose Them,2025-12-31
CUS0028374,2023-09-13,2,468000,234000,2023-02-08,3,2,Serum,839,217,2,2,2,222,6,Hibernating,2025-12-31
CUS0028375,2022-09-10,1,58000,58000,2022-09-10,1,1,Moisturizer,1208,0,1,1,1,111,3,Lost,2025-12-31
CUS0028376,2023-05-22,5,1256000,251200,2022-04-18,6,2,Moisturizer,953,399,2,4,4,244,10,Cant Lose Them,2025-12-31
CUS0028377,2023-03-08,4,1312000,328000,2022-12-27,6,3,Moisturizer,1028,71,2,4,4,244,10,Cant Lose Them,2025-12-31
CUS0028378,2024-10-02,1,377000,377000,2024-10-02,3,1,Sunscreen,455,0,3,1,2,312,6,Need Attention,2025-12-31
CUS0028379,2023-03-21,3,458000,152667,2023-03-16,5,2,Serum,1015,5,2,3,2,232,7,At Risk,2025-12-31
CUS0028380,2023-06-03,2,486000,243000,2023-05-26,2,1,Serum,941,8,2,2,2,222,6,Hibernating,2025-12-31
CUS0028381,2023-06-05,2,1055000,527500,2023-04-05,3,2,Serum,939,61,2,2,3,223,7,Hibernating,2025-12-31
CUS0028382,2022-08-23,2,5229000,2614500,2022-03-27,3,2,Serum,1225,149,1,2,5,125,8,Lost,2025-12-31
CUS0028383,2025-03-13,8,3951000,493875,2023-06-05,17,4,Sunscreen,292,647,4,5,5,455,14,Champions,2025-12-31
CUS0028384,2023-01-18,4,1802000,450500,2022-04-17,7,3,Moisturizer,1077,276,1,4,4,144,9,Cant Lose Them,2025-12-31
CUS0028385,2022-10-21,5,871000,174200,2022-03-17,5,4,Sunscreen,1166,218,1,4,3,143,8,At Risk,2025-12-31
CUS0028386,2025-11-01,7,2042000,291714,2025-05-19,12,5,Moisturizer,59,166,5,4,4,544,13,Champions,2025-12-31
CUS0028387,2022-11-24,10,2635000,263500,2022-02-16,19,4,Cleanser,1132,281,1,5,5,155,11,Cant Lose Them,2025-12-31
CUS0028388,2024-06-26,3,732000,244000,2023-09-27,7,2,Serum,552,273,3,3,3,333,9,Loyal Customers,2025-12-31
CUS0028389,2025-12-10,3,2116000,705333,2025-11-03,6,2,Cleanser,20,37,5,3,4,534,12,Loyal Customers,2025-12-31
CUS0028390,2022-05-20,1,404000,404000,2022-05-20,3,1,Serum,1321,0,1,1,2,112,4,Lost,2025-12-31
CUS0028391,2025-12-09,4,1417000,354250,2025-11-01,8,3,Sunscreen,21,38,5,4,4,544,13,Champions,2025-12-31
CUS0028392,2025-11-14,2,811000,405500,2025-10-22,2,2,Serum,46,23,5,2,3,523,10,Recent Customers,2025-12-31
CUS0028393,2025-12-30,54,17150000,317593,2025-05-26,86,5,Serum,0,218,5,5,5,555,15,Champions,2025-12-31
CUS0028394,2025-12-22,21,9186000,437429,2025-08-02,39,5,Moisturizer,8,142,5,5,5,555,15,Champions,2025-12-31
CUS0028395,2022-06-04,4,2371000,592750,2022-01-10,10,4,Sunscreen,1305,145,1,4,4,144,9,Cant Lose Them,2025-12-31
CUS0028396,2025-12-26,11,4099000,372636,2025-06-06,19,5,Serum,4,203,5,5,5,555,15,Champions,2025-12-31
CUS0028397,2022-11-22,1,78000,78000,2022-11-22,1,1,Moisturizer,1135,0,1,1,1,111,3,Lost,2025-12-31
CUS0028398,2025-01-11,5,591000,118200,2024-01-27,5,3,Cleanser,353,350,4,4,2,442,10,Potential Loyalists,2025-12-31
CUS0028399,2025-03-01,1,2976000,2976000,2025-03-01,2,1,Serum,305,0,4,1,5,415,10,Recent Customers,2025-12-31
CUS0028400,2025-11-02,4,1399000,349750,2025-10-04,7,3,Moisturizer,58,29,5,4,4,544,13,Champions,2025-12-31
CUS0028401,2025-12-12,11,3547000,322455,2024-03-06,16,5,Serum,18,646,5,5,5,555,15,Champions,2025-12-31
CUS0028402,2022-12-05,2,512000,256000,2022-10-03,3,2,Serum,1121,63,1,2,2,122,5,Lost,2025-12-31
CUS0028403,2025-11-14,25,7751000,310040,2023-12-13,41,5,Cleanser,46,702,5,5,5,555,15,Champions,2025-12-31
CUS0028404,2025-05-26,2,616000,308000,2024-12-11,5,1,Serum,218,166,4,2,2,422,8,Recent Customers,2025-12-31
CUS0028405,2025-10-14,1,46000,46000,2025-10-14,1,1,Toner,78,0,5,1,1,511,7,Recent Customers,2025-12-31
CUS0028406,2023-04-23,2,718000,359000,2022-12-08,3,2,Serum,982,136,2,2,3,223,7,Hibernating,2025-12-31
CUS0028407,2025-12-25,25,8957000,358280,2023-11-21,39,5,Serum,5,765,5,5,5,555,15,Champions,2025-12-31
CUS0028408,2023-09-12,2,254000,127000,2023-08-19,3,2,Toner,840,24,2,2,1,221,5,Hibernating,2025-12-31
CUS0028409,2023-04-10,1,163000,163000,2023-04-10,2,1,Cleanser,996,0,2,1,1,211,4,Hibernating,2025-12-31
CUS0028410,2022-11-10,2,245000,122500,2022-08-17,2,2,Moisturizer,1146,85,1,2,1,121,4,Lost,2025-12-31
CUS0028411,2024-10-09,2,320000,160000,2024-08-14,5,2,Cleanser,447,56,3,2,1,321,6,Potential Loyalists,2025-12-31
CUS0028412,2025-12-17,2,536000,268000,2025-12-12,4,1,Sunscreen,13,5,5,2,2,522,9,Recent Customers,2025-12-31
CUS0028413,2022-12-15,4,843000,210750,2022-09-18,4,3,Sunscreen,1111,88,1,4,3,143,8,At Risk,2025-12-31
CUS0028414,2023-11-18,3,974000,324667,2023-04-18,4,3,Cleanser,773,214,2,3,3,233,8,At Risk,2025-12-31
